GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031479013,66,17,11,19,10,90,80,65
g361031479021,53,11,11,11,11,11,11,11
g361031479022,82,11,14,11,11,11,11,11
g361031479023,81,11,13,11,11,11,11,11
g361031479024,54,11,11,11,11,11,11,11
g361031580011,72,5,11,11,11,11,11,11
g361031580012,43,6,8,11,11,11,11,11
g361031580013,70,11,11,11,11,11,11,12
g361031580014,65,35,11,11,11,11,11,11
g361031580015,48,11,11,11,11,11,11,11
g361031580021,72,11,11,11,11,11,11,11
g361031580022,101,11,11,11,11,11,11,11
g361031580023,130,78,68,11,11,11,11,11
g361031580024,116,11,11,11,11,11,11,11
g361031580025,73,11,26,11,11,11,11,11
g361031580026,89,11,11,11,11,11,11,11
g361031580061,105,73,11,11,22,11,29,11
g361031580062,102,46,60,11,11,11,11,11
g361031580063,94,69,11,69,11,11,11,11
g361031580064,68,11,11,11,11,11,11,11
g361031580071,11,11,11,11,11,11,11,11
g361031580072,13,11,8,11,11,11,11,11
g361031580073,13,11,11,11,11,11,11,11
g361031580074,11,11,11,11,11,11,11,11
g361031580091,53,10,11,11,11,11,11,11
g361031580092,56,8,11,10,11,11,11,11
g361031580101,71,11,20,11,11,11,11,11
g361031580102,63,11,11,11,11,11,11,24
g361031580103,54,11,11,11,11,11,11,11
g361031580111,81,59,11,31,15,11,11,11
g361031580112,65,11,11,11,11,11,11,11
g361031580113,36,11,11,37,80,61,15,69
g361031581021,99,44,73,62,23,38,17,26
g361031581022,111,11,47,11,11,11,11,11
g361031581031,89,11,75,14,11,11,11,11
g361031581032,68,11,71,11,11,11,11,11
g361031581041,85,11,65,11,11,11,11,11
g361031581042,81,11,11,11,11,11,11,11
g361031581043,98,10,11,11,11,11,11,11
g361031581071,65,63,22,9,50,36,11,11
g361031581072,79,11,57,11,11,11,11,11
g361031581081,52,44,41,7,37,26,14,11
g361031581101,75,11,23,11,11,11,11,11
g361031581102,75,11,37,11,11,11,11,11
g361031581111,71,11,52,11,11,11,11,11
g361031581112,66,11,11,11,11,11,11,9
g361031581121,83,18,18,11,11,11,11,11
g361031581122,95,17,78,11,11,11,11,11
g361031581141,76,24,52,44,30,38,15,25
g361031581151,125,41,60,11,11,80,11,104
g361031581152,119,11,11,11,11,11,11,11
g361031581153,120,11,22,11,11,11,11,11
g361031581161,61,47,11,31,12,11,11,11
g361031581162,33,11,14,8,15,37,25,21
g361031582021,117,11,23,69,67,16,11,19
g361031582022,136,20,63,30,67,108,70,64
g361031582023,126,42,31,20,21,11,47,11
g361031582024,94,11,11,11,11,11,11,11
g361031582025,119,69,70,20,47,35,11,11
g361031582031,29,8,12,11,11,11,10,16
g361031582051,48,16,11,11,11,11,11,11
g361031582052,44,11,11,11,11,11,11,11
g361031582061,81,20,12,53,45,11,18,15
g361031582062,64,49,30,61,20,11,11,12
g361031582063,56,25,52,59,59,11,33,11
