GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031353041,67,31,64,64,54,34,38,11,11,11,11,11,11
g361031353042,48,24,45,38,24,11,32,16,15,11,16,11,11
g361031354011,103,14,74,11,11,11,11,99,69,26,11,11,11
g361031354012,126,38,79,79,50,70,66,25,23,11,11,11,11
g361031354013,156,136,118,91,89,48,66,63,23,40,11,11,11
g361031354021,119,74,106,96,61,39,30,11,72,23,11,11,11
g361031354022,117,29,115,61,55,64,31,73,40,11,21,11,11
g361031354023,69,11,45,80,63,28,11,26,11,11,11,11,11
g361031354024,114,21,41,92,66,23,26,86,11,11,11,11,22
g361031354031,77,27,45,72,30,26,11,11,19,11,11,11,11
g361031354032,95,45,72,89,39,37,31,48,27,19,11,11,11
g361031354033,78,22,44,18,67,24,17,26,12,11,11,16,11
g361031456021,87,11,76,52,21,12,25,60,30,16,11,11,11
g361031456022,93,31,73,57,33,18,24,61,31,11,11,11,11
g361031456023,110,47,86,88,28,49,25,30,30,18,11,11,11
g361031456031,120,35,100,40,32,44,31,11,90,11,47,14,11
g361031456032,95,21,55,21,9,27,23,61,55,11,11,7,11
g361031456033,112,48,97,66,34,48,11,67,73,29,9,12,11
g361031456041,122,36,92,45,52,38,50,73,87,11,11,20,11
g361031456042,104,30,71,31,56,11,25,31,53,31,11,11,11
g361031456051,59,17,37,34,21,11,31,50,39,11,11,11,11
g361031456052,69,32,65,37,27,11,16,51,44,34,11,11,11
g361031457011,60,23,47,31,31,16,43,11,11,11,11,11,11
g361031457012,86,43,48,84,28,42,52,11,11,11,11,15,11
g361031457013,125,11,21,11,16,11,11,112,113,45,11,11,11
g361031457014,87,15,89,55,44,25,43,11,36,11,11,11,11
g361031457021,101,30,89,23,23,20,11,40,11,11,11,11,11
g361031457022,115,14,61,75,60,49,22,51,18,23,11,11,11
g361031457023,131,42,92,55,58,51,50,11,109,21,11,11,11
g361031457031,74,19,49,37,25,11,16,49,37,11,11,11,11
g361031457032,111,11,114,63,25,65,50,45,65,39,11,11,11
g361031457033,115,26,72,52,11,11,11,74,98,28,14,11,11
g361031457041,166,11,106,92,51,46,18,19,97,16,11,11,23
g361031457042,149,11,92,87,30,33,11,80,106,11,11,11,11
g361031457043,198,11,99,73,85,39,16,113,125,19,11,85,11
g361031457044,167,11,11,14,11,11,11,155,121,23,18,11,11
g361031458031,90,60,62,64,47,31,10,11,11,11,11,11,11
g361031458032,95,32,34,75,63,62,23,38,11,11,11,11,11
g361031458033,110,46,58,61,26,30,31,49,66,13,11,11,11
g361031458041,67,14,50,60,37,28,37,33,32,17,11,11,11
g361031458042,61,31,48,36,18,9,11,12,32,11,11,11,11
g361031458051,122,17,105,36,39,17,11,90,64,19,16,11,11
g361031458052,87,25,68,65,74,43,56,58,11,11,11,11,11
g361031458053,112,59,50,82,32,49,29,59,32,36,18,11,11
g361031458054,102,83,91,70,51,34,11,26,24,22,11,11,11
g361031458071,86,48,74,61,54,47,43,11,31,11,11,11,11
g361031458072,83,22,55,86,59,61,19,11,23,29,11,11,11
g361031458081,72,13,53,58,32,50,34,46,25,11,41,11,11
g361031458082,61,11,66,65,21,46,19,40,16,11,11,9,11
g361031459011,84,45,42,29,15,23,28,32,69,11,9,11,11
g361031459012,71,46,67,59,43,33,31,13,15,15,11,11,11
g361031459021,130,33,116,47,40,11,39,78,84,11,11,11,11
g361031459022,149,11,114,56,74,12,38,87,98,11,11,11,11
g361031459023,155,35,114,37,61,15,43,88,85,11,11,11,11
g361031459024,161,11,129,100,11,36,11,117,100,11,11,11,11
g361031459031,86,33,89,47,20,30,37,11,36,11,11,11,11
g361031459032,79,56,54,67,36,33,28,29,19,11,11,11,11
g361031459033,100,35,63,53,18,21,40,65,48,11,11,11,11
g361031459034,110,13,73,64,19,23,38,66,72,11,11,11,11
g361031460011,98,13,77,67,57,47,28,43,86,11,11,11,11
g361031460012,110,17,56,57,58,32,22,63,67,33,11,11,11
g361031460021,118,31,79,38,65,47,39,11,22,43,11,11,11
g361031460022,96,25,75,32,19,34,11,72,11,11,11,11,11
g361031460023,113,41,76,61,15,76,28,11,84,11,12,11,11
g361031460031,158,11,129,23,32,39,24,33,66,35,11,11,11
g361031460032,138,11,26,104,48,32,41,55,43,22,11,11,11
g361031460033,170,34,103,115,89,11,26,49,135,108,11,11,11
g361031460034,141,11,81,60,51,89,63,11,103,21,11,11,11
g361031461021,46,31,58,45,15,26,34,53,10,11,11,11,8
g361031461031,75,19,43,84,24,28,37,11,20,11,11,11,11
g361031461032,95,29,94,70,59,44,42,11,23,10,11,11,11
g361031461051,124,19,54,28,11,26,11,69,121,37,44,11,11
g361031461052,142,16,51,63,55,32,28,81,102,11,11,11,11
g361031461053,109,22,104,80,29,26,21,11,55,11,11,11,11
g361031461061,83,41,76,56,22,13,32,80,78,37,11,11,11
