GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031460031,480,2151,480,,0,364,480
g361031460032,457,1825,440,,17,345,457
g361031460033,1013,2684,966,,47,506,1013
g361031460034,649,1762,633,,16,455,649
g361031461021,650,2274,615,,35,493,650
g361031461031,477,1345,445,,32,425,477
g361031461032,782,2475,763,,19,742,782
g361031461051,508,1114,486,,22,118,508
g361031461052,798,3112,721,,77,475,798
g361031461053,499,2242,499,,0,464,499
g361031461061,746,2613,682,,64,384,746
g361031461062,408,1512,395,,13,325,408
g361031462011,672,2573,648,,24,370,672
g361031462012,558,2174,537,,21,430,558
g361031462021,639,2731,601,,38,467,639
g361031462022,572,2799,561,,11,394,572
g361031462031,607,2167,547,,60,261,607
g361031462032,346,1153,319,,27,301,346
g361031462033,568,2434,528,,40,295,568
g361031462041,566,2352,536,,30,413,566
g361031462042,713,2932,694,,19,363,713
g361031462043,233,1090,233,,0,196,233
g361031462051,274,868,225,,49,173,274
g361031462052,423,1291,416,,7,401,423
g361031462061,255,1034,255,,0,222,255
g361031462062,525,1713,506,,19,458,525
g361031463001,578,1156,578,,0,332,578
g361031463002,704,1237,673,,31,407,704
g361031464021,726,2112,655,,71,601,726
g361031464022,386,1079,354,,32,247,386
g361031464023,281,942,281,,0,281,281
g361031464031,545,2122,495,,50,413,545
g361031464032,453,1384,392,,61,237,453
g361031464033,379,1715,379,,0,269,379
g361031464041,521,2001,464,,57,319,521
g361031464042,531,2005,531,,0,457,531
g361031465001,538,1288,488,,50,452,538
g361031465002,364,993,311,,53,248,364
g361031465003,481,1427,455,,26,435,481
g361031465004,425,1424,425,,0,350,425
g361031466041,671,1425,650,,21,32,671
g361031466042,559,1767,538,,21,517,559
g361031466043,438,1224,391,,47,369,438
g361031466051,298,972,285,,13,255,298
g361031466061,563,1646,563,,0,563,563
g361031466062,700,1965,700,,0,522,700
g361031466063,578,1693,548,,30,470,578
g361031466064,710,2427,696,,14,569,710
g361031466071,511,1104,493,,18,414,511
g361031466072,595,1440,569,,26,187,595
g361031466081,691,1725,652,,39,427,691
g361031466082,362,980,332,,30,97,362
g361031466111,802,1912,785,,17,364,802
g361031466112,454,1450,454,,0,429,454
g361031466121,288,1081,288,,0,263,288
g361031466122,785,2339,760,,25,631,785
g361031466123,576,1908,576,,0,513,576
g361031466131,404,1268,404,,0,359,404
g361031466132,789,2749,789,,0,684,789
g361031466141,803,2307,706,,97,624,803
g361031466142,327,1196,327,,0,327,327
g361031466143,922,2374,922,,0,844,922
g361031466151,491,1429,491,,0,480,491
g361031466152,661,1746,627,,34,320,661
g361031466153,796,1728,760,,36,196,796
g361031467031,684,2101,640,,44,454,684
g361031467032,618,1657,570,,48,532,618
g361031467041,671,1823,659,,12,656,671
g361031467051,526,1769,511,,15,479,526
g361031467052,567,1800,567,,0,529,567
g361031467061,338,1100,338,,0,318,338
g361031467062,527,1532,523,,4,511,527
g361031468001,749,2176,740,,9,679,749
g361031468002,652,2204,627,,25,612,652
g361031468003,404,995,355,,49,355,404
g361031468004,190,540,190,,0,180,190
g361031469011,753,2132,753,,0,677,753
g361031469012,449,1563,449,,0,398,449
g361031469013,241,820,241,,0,219,241
g361031469014,304,871,304,,0,281,304
g361031469021,644,1718,605,,39,577,644
g361031469022,355,1375,313,,42,303,355
g361031469023,299,821,285,,14,285,299
g361031470011,309,964,290,,19,237,309
g361031470012,285,758,285,,0,278,285
g361031470013,820,2584,820,,0,740,820
g361031470031,821,2030,763,,58,747,821
g361031470032,529,1680,482,,47,476,529
g361031470033,444,861,407,,37,340,444
g361031470041,2328,243,93,,2235,79,2328
g361031471001,423,1172,418,,5,410,423
g361031471002,294,913,294,,0,205,294
g361031471003,357,1032,357,,0,349,357
g361031472001,803,2840,789,,14,536,803
g361031472002,309,540,275,,34,57,309
g361031472003,624,1407,541,,83,230,624
g361031472004,332,903,298,,34,209,332
g361031472005,477,674,412,,65,28,477
g361031473001,421,1382,387,,34,70,421
g361031473002,238,536,238,,0,43,238
g361031473003,439,1340,439,,0,347,439
g361031473004,439,1666,439,,0,190,439
g361031473005,587,1299,587,,0,31,587
g361031473006,844,1790,832,,12,547,844
g361031474011,766,2042,766,,0,499,766
g361031474012,738,1226,645,,93,426,738
g361031474013,689,2002,653,,36,478,689
g361031474014,372,688,359,,13,219,372
g361031474021,448,1213,417,,31,373,448
g361031474022,451,1206,431,,20,423,451
g361031474023,439,1126,411,,28,385,439
